City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Loa Janan,ID,70.61,overcast clouds,-0.583,117.095,Kost bu jono
6,Camocim,BR,79.05,heavy intensity rain,-2.9022,-40.8411,Ilha Praia Hotel
9,Mar Del Plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
10,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
13,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
14,Berbera,SO,84.13,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
15,Kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
16,Hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
20,Atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
21,Tabou,CI,80.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
32,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
33,Cabo San Lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
36,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
40,Rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
41,Balkanabat,TM,75.47,clear sky,39.5108,54.3671,Nebitchi Hotel
48,West Bay,KY,86.07,few clouds,19.3667,-81.4167,Calypso Cove
51,East London,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
54,Lahaina,US,78.8,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
55,Majene,ID,77.09,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
56,Mabaruma,GY,82.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
57,Mozarlandia,BR,87.89,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
62,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
63,Katiola,CI,83.03,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
66,Sao Filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
67,Lumut,MY,77.02,few clouds,4.2323,100.6298,"Marina Island Pangkor Resort & Hotel (Suites, Function Rooms and Convention Hall)"
82,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
83,Kiunga,PG,72.43,scattered clouds,-6.1219,141.2906,Airport Lodge Kiunga
86,Dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
88,Ojinaga,MX,89.56,clear sky,29.5667,-104.4167,Suites Las Palmas
89,Puerto Ayora,EC,85.96,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
91,Kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
94,Manggar,ID,77.81,broken clouds,-2.8833,108.2667,Guest Hotel
95,San Pedro,PH,79.27,few clouds,14.35,121.0167,Esquivel's Garden And Resort
98,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
104,Saint-Philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
105,Playas,EC,78.76,broken clouds,-2.6333,-80.3833,Hostal Promenade
106,Srandakan,ID,76.21,overcast clouds,-7.9386,110.2506,Puri Brata
107,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
109,Jawhar,SO,80.19,broken clouds,2.7809,45.5005,hantiwadaag village part one
110,Castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
