City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,41.11,87,40,23.02,light intensity shower rain
1,Nikolskoye,RU,59.7035,30.7861,30.7,96,35,2.95,scattered clouds
2,Loa Janan,ID,-0.583,117.095,70.61,94,98,1.61,overcast clouds
3,Westport,US,41.1415,-73.3579,44.91,92,100,5.75,overcast clouds
4,Nanlong,CN,31.3533,106.0631,58.53,77,100,4.72,moderate rain
5,Yellowknife,CA,62.456,-114.3525,20.41,68,75,17.27,broken clouds
6,Camocim,BR,-2.9022,-40.8411,79.05,88,86,9.48,heavy intensity rain
7,Calvinia,ZA,-31.4707,19.776,59.16,63,0,7.56,clear sky
8,Milkovo,RU,54.7167,158.6167,12.15,82,19,4.21,few clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,75.22,62,40,21.85,scattered clouds
10,Carnarvon,AU,-24.8667,113.6333,77.07,83,40,12.66,scattered clouds
11,Ushuaia,AR,-54.8,-68.3,38.86,81,40,31.07,light rain
12,Busselton,AU,-33.65,115.3333,62.58,81,51,16.98,broken clouds
13,Avarua,CK,-21.2078,-159.775,77.05,94,20,2.3,few clouds
14,Berbera,SO,10.4396,45.0143,84.13,59,5,2.44,clear sky
15,Kavieng,PG,-2.5744,150.7967,80.69,78,100,4.63,light rain
16,Hilo,US,19.7297,-155.09,78.53,76,100,6.91,heavy intensity rain
17,Longkou,CN,37.6508,120.3286,46.18,71,0,14.32,clear sky
18,Tuatapere,NZ,-46.1333,167.6833,46.99,92,87,3.44,overcast clouds
19,Fairbanks,US,64.8378,-147.7164,22.01,63,40,3.44,scattered clouds
20,Atuona,PF,-9.8,-139.0333,79.95,72,83,21.14,broken clouds
21,Tabou,CI,4.423,-7.3528,80.47,82,100,10.38,overcast clouds
22,Jamestown,US,42.097,-79.2353,33.71,75,100,9.22,light snow
23,Upington,ZA,-28.4478,21.2561,64.78,52,0,5.75,clear sky
24,Albany,US,42.6001,-73.9662,41.63,86,100,0.94,moderate rain
25,Esperance,AU,-33.8667,121.9,64.24,92,100,7.54,light rain
26,Kumano,JP,34.3442,132.5894,43.93,84,0,5.48,clear sky
27,Cape Town,ZA,-33.9258,18.4232,65.12,80,0,13.8,clear sky
28,Victoria,HK,22.2855,114.1577,65.25,65,0,13.0,clear sky
29,Kamina,CD,-8.7386,24.9906,66.72,92,98,1.41,light rain
30,Tessalit,ML,20.1986,1.0114,91.65,8,0,6.53,clear sky
31,La Ronge,CA,55.1001,-105.2842,41.22,48,20,6.91,few clouds
32,Georgetown,MY,5.4112,100.3354,78.73,93,20,3.44,few clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,77.61,57,0,10.36,clear sky
34,Vaini,TO,-21.2,-175.2,73.56,100,100,5.75,light intensity shower rain
35,New Norfolk,AU,-42.7826,147.0587,56.7,89,99,1.03,overcast clouds
36,Bambous Virieux,MU,-20.3428,57.7575,80.22,83,75,11.5,broken clouds
37,Constitucion,CL,-35.3333,-72.4167,62.78,44,0,22.1,clear sky
38,Thompson,CA,55.7435,-97.8558,37.56,48,100,11.5,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,46.13,95,98,2.01,overcast clouds
40,Rikitea,PF,-23.1203,-134.9692,76.71,66,56,10.27,broken clouds
41,Balkanabat,TM,39.5108,54.3671,75.47,17,0,2.28,clear sky
42,Oudtshoorn,ZA,-33.5907,22.2014,59.36,84,2,2.59,clear sky
43,Nishihara,JP,26.1842,127.7558,63.68,80,40,12.66,scattered clouds
44,Hofn,IS,64.2539,-15.2082,38.17,84,100,16.91,overcast clouds
45,Klaksvik,FO,62.2266,-6.589,45.52,98,100,17.2,overcast clouds
46,Tacuarembo,UY,-31.7333,-55.9833,64.42,98,100,2.91,overcast clouds
47,Ponta Do Sol,PT,32.6667,-17.1,61.43,71,100,15.35,overcast clouds
48,West Bay,KY,19.3667,-81.4167,86.07,74,20,11.5,few clouds
49,Bluff,NZ,-46.6,168.3333,56.23,75,98,12.28,overcast clouds
50,Shelburne,CA,44.0787,-80.2041,39.13,82,100,13.85,overcast clouds
51,East London,ZA,-33.0153,27.9116,72.39,89,100,15.41,overcast clouds
52,Dikson,RU,73.5069,80.5464,-2.94,100,45,9.19,scattered clouds
53,Pevek,RU,69.7008,170.3133,-19.73,96,24,2.28,few clouds
54,Lahaina,US,20.8783,-156.6825,78.8,79,14,12.55,few clouds
55,Majene,ID,-3.5403,118.9707,77.09,85,90,4.07,overcast clouds
56,Mabaruma,GY,8.2,-59.7833,82.17,65,100,7.61,overcast clouds
57,Mozarlandia,BR,-14.7447,-50.5706,87.89,55,6,2.84,clear sky
58,Madera,US,37.1666,-119.8343,78.51,46,70,1.01,broken clouds
59,Hobart,AU,-42.8794,147.3294,57.06,93,100,6.91,overcast clouds
60,Dutlwe,BW,-23.9833,23.9,65.08,88,100,3.29,light rain
61,Bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,2.28,broken clouds
62,Port Hedland,AU,-20.3167,118.5667,78.85,78,0,8.05,clear sky
63,Katiola,CI,8.1333,-5.1,83.03,56,100,4.76,overcast clouds
64,Svecha,RU,58.2785,47.5164,27.21,92,97,10.29,overcast clouds
65,Tongchuan,CN,35.0806,109.0897,53.06,55,100,0.54,overcast clouds
66,Sao Filipe,CV,14.8961,-24.4956,71.13,76,4,9.53,clear sky
67,Lumut,MY,4.2323,100.6298,77.02,88,20,0.0,few clouds
68,Pareora,NZ,-44.4871,171.2132,53.08,89,86,2.91,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
70,Peniche,PT,39.3558,-9.3811,56.08,69,76,24.76,broken clouds
71,Yumen,CN,40.2833,97.2,47.28,23,6,12.1,clear sky
72,Hermanus,ZA,-34.4187,19.2345,61.81,87,1,8.59,clear sky
73,Abu Samrah,SY,35.3029,37.1841,61.27,44,97,8.01,overcast clouds
74,Barrow,US,71.2906,-156.7887,-7.58,71,40,16.11,mist
75,Likhoy,RU,48.1266,40.2056,48.94,78,100,20.51,overcast clouds
76,Port Alfred,ZA,-33.5906,26.891,68.18,91,98,3.0,overcast clouds
77,Upernavik,GL,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
78,Nemuro,JP,43.3236,145.575,35.28,82,0,14.72,clear sky
79,Kodiak,US,57.79,-152.4072,36.91,65,100,11.5,overcast clouds
80,Lagoa,PT,39.05,-27.9833,58.95,82,0,19.17,clear sky
81,Provideniya,RU,64.3833,-173.3,2.8,74,0,11.5,clear sky
82,Praia,CV,14.9215,-23.5087,73.94,60,20,13.8,few clouds
83,Kiunga,PG,-6.1219,141.2906,72.43,96,35,0.94,scattered clouds
84,Puerto Carreno,CO,6.189,-67.4859,94.98,46,40,5.75,scattered clouds
85,Airai,TL,-8.9266,125.4092,56.95,77,20,1.16,few clouds
86,Dingle,PH,10.9995,122.6711,75.43,86,100,6.98,overcast clouds
87,Kloulklubed,PW,7.0419,134.2556,75.7,79,100,4.61,overcast clouds
88,Ojinaga,MX,29.5667,-104.4167,89.56,32,0,3.44,clear sky
89,Puerto Ayora,EC,-0.7393,-90.3518,85.96,76,45,11.61,light rain
90,Denia,ES,38.8408,0.1057,52.75,56,100,8.99,overcast clouds
91,Kirakira,SB,-10.4544,161.9205,80.71,83,100,10.67,overcast clouds
92,Beringovskiy,RU,63.05,179.3167,-4.9,86,49,15.26,scattered clouds
93,Tura,IN,25.5198,90.2201,69.84,94,11,6.31,moderate rain
94,Manggar,ID,-2.8833,108.2667,77.81,85,54,4.05,broken clouds
95,San Pedro,PH,14.35,121.0167,79.27,76,20,4.61,few clouds
96,Kununurra,AU,-15.7667,128.7333,66.18,88,29,0.0,scattered clouds
97,Morehead,US,37.2711,-87.1764,62.78,35,0,5.75,clear sky
98,Mahebourg,MU,-20.4081,57.7,80.26,83,75,11.5,broken clouds
99,Saskylakh,RU,71.9167,114.0833,-7.06,98,100,9.66,overcast clouds
100,Ozinki,RU,51.1786,49.6769,51.01,74,100,12.1,overcast clouds
