City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Constitucion,CL,2022-03-29 06:56:40,-35.3333,-72.4167,52.68,80,1,5.86
1,Vaini,TO,2022-03-29 06:56:40,-21.2,-175.2,78.96,73,40,9.22
2,Ushuaia,AR,2022-03-29 06:56:03,-54.8,-68.3,38.86,87,75,21.85
3,Jamestown,US,2022-03-29 06:53:08,42.097,-79.2353,20.71,63,75,6.91
4,Alyangula,AU,2022-03-29 06:56:41,-13.8483,136.4192,91.27,55,100,10.36
5,Cape Town,ZA,2022-03-29 06:56:41,-33.9258,18.4232,65.12,76,100,20.71
6,Kavieng,PG,2022-03-29 06:56:41,-2.5744,150.7967,83.14,72,5,14.92
7,Punta Arenas,CL,2022-03-29 06:56:42,-53.15,-70.9167,39.31,70,0,12.66
8,Rikitea,PF,2022-03-29 06:56:42,-23.1203,-134.9692,77.88,70,90,2.26
9,Qaanaaq,GL,2022-03-29 06:56:42,77.484,-69.3632,9.25,96,100,0.25
10,Dingle,PH,2022-03-29 06:56:43,10.9995,122.6711,87.57,56,59,18.16
11,Walla Walla,US,2022-03-29 06:54:35,46.0646,-118.343,55.76,72,6,10.0
12,Lebu,CL,2022-03-29 06:56:43,-37.6167,-73.65,54.63,76,99,15.1
13,Ponta Do Sol,PT,2022-03-29 06:56:43,32.6667,-17.1,62.01,75,57,6.89
14,Belle Glade,US,2022-03-29 06:56:44,26.6845,-80.6676,67.01,69,13,5.97
15,Tasiilaq,GL,2022-03-29 06:56:44,65.6145,-37.6368,22.14,88,100,12.71
16,Yaan,NG,2022-03-29 06:56:44,7.3833,8.5667,80.87,75,21,6.8
17,Siddipet,IN,2022-03-29 06:56:44,18.1,78.85,100.6,12,7,6.91
18,Tuktoyaktuk,CA,2022-03-29 06:56:45,69.4541,-133.0374,-18.94,99,41,7.9
19,Chuy,UY,2022-03-29 06:56:45,-33.6971,-53.4616,60.87,90,5,8.1
20,Bluff,NZ,2022-03-29 06:56:45,-46.6,168.3333,60.33,81,41,4.27
21,Bethel,US,2022-03-29 06:56:46,41.3712,-73.414,23.49,64,7,8.01
22,Hilo,US,2022-03-29 06:53:33,19.7297,-155.09,74.93,84,100,3.44
23,Hermanus,ZA,2022-03-29 06:56:46,-34.4187,19.2345,70.81,66,97,12.86
24,Busselton,AU,2022-03-29 06:56:46,-33.65,115.3333,77.95,55,100,16.31
25,Aksarka,RU,2022-03-29 06:56:47,66.5606,67.7975,32.11,100,100,15.05
26,Dwarka,IN,2022-03-29 06:56:47,22.2394,68.9678,85.91,53,5,12.3
27,Kodiak,US,2022-03-29 06:52:42,57.79,-152.4072,36.91,87,100,5.75
28,Vanimo,PG,2022-03-29 06:56:47,-2.6741,141.3028,81.64,86,92,11.99
29,Mar Del Plata,AR,2022-03-29 06:55:32,-38.0023,-57.5575,64.87,89,0,11.5
30,Kumluca,TR,2022-03-29 06:56:48,36.3703,30.2869,60.37,51,100,5.48
31,Riwaka,NZ,2022-03-29 06:56:48,-41.0833,173.0,61.43,78,99,1.99
32,Sorland,NO,2022-03-29 06:56:48,67.667,12.6934,31.86,53,100,23.94
33,Kaitangata,NZ,2022-03-29 06:56:49,-46.2817,169.8464,57.04,92,100,3.44
34,Vila Franca Do Campo,PT,2022-03-29 06:56:49,37.7167,-25.4333,54.01,87,78,4.05
35,Muyezerskiy,RU,2022-03-29 06:56:49,63.9333,31.65,15.71,88,96,8.46
36,Rorvik,NO,2022-03-29 06:56:50,64.8621,11.2373,26.71,68,0,4.61
37,Avarua,CK,2022-03-29 06:56:50,-21.2078,-159.775,77.05,88,91,4.61
38,Puerto Ayora,EC,2022-03-29 06:56:50,-0.7393,-90.3518,77.4,86,48,5.17
39,Hobart,AU,2022-03-29 06:56:15,-42.8794,147.3294,69.26,78,40,19.57
40,Iqaluit,CA,2022-03-29 06:56:51,63.7506,-68.5145,11.93,92,100,3.44
41,Flinders,AU,2022-03-29 06:56:51,-34.5833,150.8552,68.38,94,100,4.56
42,Port Hardy,CA,2022-03-29 06:57:52,50.6996,-127.4199,44.6,100,20,4.61
43,Hithadhoo,MV,2022-03-29 06:57:52,-0.6,73.0833,81.7,65,1,6.64
44,Pacific Grove,US,2022-03-29 06:57:52,36.6177,-121.9166,52.09,92,19,7.0
45,Kuito,AO,2022-03-29 06:57:52,-12.3833,16.9333,62.83,88,100,2.68
46,Butaritari,KI,2022-03-29 06:57:53,3.0707,172.7902,81.28,71,38,9.15
47,Albany,US,2022-03-29 06:57:53,42.6001,-73.9662,17.76,64,23,1.01
48,Port Lincoln,AU,2022-03-29 06:57:53,-34.7333,135.8667,68.29,62,5,11.63
49,Cockburn Town,TC,2022-03-29 06:57:25,21.4612,-71.1419,76.64,64,67,15.32
50,Hambantota,LK,2022-03-29 06:57:54,6.1241,81.1185,89.94,70,40,5.75
51,Monaco-Ville,FR,2022-03-29 06:57:54,43.731,7.4248,58.53,59,0,5.75
52,Muzhi,RU,2022-03-29 06:57:54,65.3667,64.6667,30.63,99,100,1.95
53,Cabo San Lucas,MX,2022-03-29 06:54:08,22.8909,-109.9124,70.61,51,92,15.88
54,Kalabo,ZM,2022-03-29 06:57:55,-14.97,22.6814,67.24,92,100,5.64
55,Praia Da Vitoria,PT,2022-03-29 06:57:55,38.7333,-27.0667,57.76,88,40,6.67
56,Olafsvik,IS,2022-03-29 06:57:55,64.8945,-23.7142,34.75,80,100,13.33
57,Yellowknife,CA,2022-03-29 06:57:56,62.456,-114.3525,8.29,89,100,2.3
58,Acapulco,MX,2022-03-29 06:56:35,16.8634,-99.8901,75.02,43,6,4.32
59,Tiksi,RU,2022-03-29 06:57:56,71.6872,128.8694,2.21,85,100,4.03
60,Mataura,NZ,2022-03-29 06:57:56,-46.1927,168.8643,58.14,83,100,2.01
61,Bairiki,KI,2022-03-29 06:57:57,1.3292,172.9752,84.2,74,20,5.75
62,Saint-Joseph,RE,2022-03-29 06:57:57,-21.3667,55.6167,83.21,74,85,0.67
63,Soto La Marina,MX,2022-03-29 06:57:57,23.7667,-98.2167,63.77,90,11,6.04
64,San Patricio,US,2022-03-29 06:57:57,28.017,-97.5169,72.9,94,100,16.69
65,Ust-Kan,RU,2022-03-29 06:57:58,50.9276,84.761,33.12,84,88,7.11
66,Sawtell,AU,2022-03-29 06:57:58,-30.3833,153.1,69.82,88,75,19.57
67,Brufut,GM,2022-03-29 06:57:58,13.3814,-16.7518,69.06,69,100,14.65
68,Huilong,CN,2022-03-29 06:57:59,31.8111,121.655,56.32,68,33,13.18
69,Haimen,CN,2022-03-29 06:57:59,23.1935,116.6142,69.69,77,96,17.49
70,Orono,US,2022-03-29 06:55:32,44.8831,-68.672,20.34,70,100,11.07
71,Kapaa,US,2022-03-29 06:57:59,22.0752,-159.319,72.12,84,100,8.77
